date,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),news
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Namo Bharat Rapid Rail Launched
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Aditi Rao Hydari Wedding Pics
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Reliance Power share price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Tata Technologies share price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Adani Enterprises share price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Bank of Baroda share price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,IDFC First Bank share price
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Standard Deviation Calculator
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,IPL Mega Auction 2025: Harshal Patel expected to attract high bids
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Adani Bribery Case: Here are 5 setbacks that followed post indictment
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Travellers on Schengen visas can add two more countries to their Europe itinerary from 2025
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Elon Musk's ex GF Grimes says she is going bankrupt after split with world's richest man
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Palghar Election Results: Jayendra Kisan Dubla vs Gavit Rajendra Dhedya, who is winning?"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,Nvidia CEO Jensen Huang says 'the age of AI has started'
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,This change in GST annual return if not checked properly can result in input tax credit mismatch
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Don't want to interfere, regulatory board will ensure good governance: Sports Min Mandaviya on IOA concerns"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"At COP29, climate progress takes one step forward, two steps back"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Cocoa, green tea act as counter to effects of high-fat food under stress, reveals study"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,As long as there are EVMs...: Congress cries foul play amid Mahayuti's lead in Maharashtra
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,HR asks candidate her marriage plans during interview; scandalised netizens demand ban of ‘outdated questions’
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"Maharashtra election 2024: Kuch toh gadbad hain, Sanjay Raut rejects early trends, says Adani is 'Ladli bhai of BJP'"
2022-10-11,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06,"As threat of Trump tariffs looms, Europe's leaders seek greater unity"
